temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
6.311,5.411,93.966705,0.0,0.0,0.0,29.7,Sunny
6.211,5.261,93.63622,0.0,0.0,0.0,30.000002,Cloudy
6.911,5.911,93.34764,0.0,0.0,0.0,3.0,Sunny
8.811001,6.861,87.57119,0.0,0.0,0.0,0.90000004,Sunny
11.661,8.261001,79.64893,0.0,0.0,0.0,0.0,Sunny
14.311001,9.111,70.945335,0.0,0.0,0.0,0.0,Sunny
16.111,9.511001,64.923195,0.0,0.0,0.0,0.0,Sunny
17.261,9.161,58.947113,0.0,0.0,0.0,0.0,Sunny
17.911001,8.561001,54.33376,0.0,0.0,0.0,0.0,Sunny
18.161001,8.411,52.9463,0.0,0.0,0.0,5.4,Sunny
18.061,8.311001,52.920017,0.0,0.0,0.0,7.2000003,Sunny
17.211,11.261001,68.037674,0.0,0.0,0.0,1.2,Sunny
14.611,9.111,69.5836,0.0,0.0,0.0,1.8000001,Sunny
12.661,8.611,76.36797,0.0,0.0,0.0,1.8000001,Sunny
12.511001,8.111,74.552864,0.0,0.0,0.0,0.0,Sunny
13.861,7.861,67.11651,0.0,0.0,0.0,0.0,Sunny
11.711,7.511,75.43741,0.0,0.0,0.0,0.0,Sunny
9.511001,7.061,84.69164,0.0,0.0,0.0,0.0,Sunny
7.911,6.561,91.181145,0.0,0.0,0.0,0.0,Sunny
7.461,6.561,94.02038,0.0,0.0,0.0,0.0,Sunny
6.461,5.961,96.61125,0.0,0.0,0.0,0.0,Sunny
6.511,6.011,96.612595,0.0,0.0,0.0,0.0,Sunny
6.011,5.511,96.599205,0.0,0.0,0.0,0.0,Sunny
7.611,6.511,92.7437,0.0,0.0,0.0,0.0,Sunny
7.111,6.011,92.715675,0.0,0.0,0.0,0.0,Sunny
7.161,5.911,91.76277,0.0,0.0,0.0,0.0,Sunny
6.561,5.461,92.684685,0.0,0.0,0.0,0.0,Sunny
8.011001,6.511,90.25242,0.0,0.0,0.0,0.0,Sunny
11.311001,8.711,84.03554,0.0,0.0,0.0,0.0,Sunny
14.411,10.111,75.38069,0.0,0.0,0.0,0.0,Sunny
16.261,9.611,64.73852,0.0,0.0,0.0,0.0,Sunny
17.211,8.911,58.145535,0.0,0.0,0.0,0.0,Sunny
17.811,8.211,53.39526,0.0,0.0,0.0,0.0,Sunny
18.011,7.911,51.66392,0.0,0.0,0.0,0.0,Sunny
17.911001,7.311,49.90587,0.0,0.0,0.0,0.0,Sunny
17.011,10.911,67.32319,0.0,0.0,0.0,0.0,Sunny
15.661,8.061001,60.582928,0.0,0.0,0.0,0.0,Sunny
14.611,7.661,63.071766,0.0,0.0,0.0,0.0,Sunny
12.461,7.461,71.55973,0.0,0.0,0.0,0.0,Sunny
9.011001,7.061,87.58971,0.0,0.0,0.0,0.0,Sunny
8.011001,6.811,92.13187,0.0,0.0,0.0,0.0,Sunny
7.261,6.311,93.687874,0.0,0.0,0.0,0.0,Sunny
6.761,5.961,94.63965,0.0,0.0,0.0,20.400002,Sunny
6.411,5.811,95.94422,0.0,0.0,0.0,2.1000001,Sunny
5.811,5.511,97.94379,0.0,0.0,0.0,0.0,Sunny
5.611,5.461,98.965515,0.0,0.0,0.0,0.0,Sunny
5.161,5.061,99.306786,0.0,0.0,0.0,0.0,Sunny
5.061,4.911,98.96094,0.0,0.0,0.0,0.0,Sunny
6.161,5.611,96.26923,0.0,0.0,0.0,0.0,Sunny
6.361,5.711,95.611176,0.0,0.0,0.0,0.0,Sunny
6.611,5.761,94.30658,0.0,0.0,0.0,0.0,Sunny
7.511,6.361,92.41938,0.0,0.0,0.0,0.0,Sunny
10.711,8.261001,84.82519,0.0,0.0,0.0,0.0,Sunny
13.211,9.511001,78.27806,0.0,0.0,0.0,0.0,Sunny
14.911,9.661,70.82188,0.0,0.0,0.0,0.0,Sunny
15.961,9.511001,65.54769,0.0,0.0,0.0,0.0,Sunny
16.761,8.661,58.825268,0.0,0.0,0.0,0.0,Sunny
17.061,7.711,54.113174,0.0,0.0,0.0,0.0,Sunny
16.961,7.261,52.809948,0.0,0.0,0.0,0.0,Sunny
16.061,8.211,59.65842,0.0,0.0,0.0,0.0,Sunny
11.661,8.661,81.83599,0.0,0.0,0.0,0.0,Sunny
9.661,7.761,87.94861,0.0,0.0,0.0,0.0,Sunny
8.811001,7.261,90.003174,0.0,0.0,0.0,0.0,Sunny
7.861,6.711,92.43974,0.0,0.0,0.0,0.0,Sunny
7.611,6.461,92.42522,0.0,0.0,0.0,0.0,Sunny
6.811,5.811,93.34249,0.0,0.0,0.0,0.0,Sunny
5.811,5.061,94.92951,0.0,0.0,0.0,0.0,Sunny
5.461,4.811,95.579994,0.0,0.0,0.0,0.0,Sunny
5.561,4.961,95.916985,0.0,0.0,0.0,0.0,Sunny
5.311,4.861,96.91757,0.0,0.0,0.0,0.0,Sunny
4.861,4.561,97.92814,0.0,0.0,0.0,0.0,Sunny
4.761,4.511,98.26942,0.0,0.0,0.0,0.0,Sunny
4.061,3.761,97.91485,0.0,0.0,0.0,0.0,Sunny
4.111,3.911,98.60614,0.0,0.0,0.0,0.0,Sunny
4.511,4.461,99.65105,0.0,0.0,0.0,17.1,Sunny
6.611,6.161,96.94912,0.0,0.0,0.0,90.0,Cloudy
8.911,7.561,91.24803,0.0,0.0,0.0,31.5,Cloudy
11.461,8.461,81.81006,0.0,0.0,0.0,0.0,Sunny
13.411,8.961,74.45628,0.0,0.0,0.0,0.0,Sunny
14.761001,8.961,68.220406,0.0,0.0,0.0,0.0,Sunny
15.661,8.561001,62.671974,0.0,0.0,0.0,0.0,Sunny
16.161001,8.411,60.088436,0.0,0.0,0.0,0.0,Sunny
16.161001,8.261001,59.480537,0.0,0.0,0.0,0.0,Sunny
15.411,8.761001,64.55088,0.0,0.0,0.0,0.0,Sunny
10.411,8.611,88.61323,0.0,0.0,0.0,0.0,Sunny
8.561001,7.311,91.85057,0.0,0.0,0.0,0.0,Sunny
7.761,6.811,93.71226,0.0,0.0,0.0,0.0,Sunny
7.211,6.411,94.658424,0.0,0.0,0.0,0.0,Sunny
8.761001,7.711,93.12426,0.0,0.0,0.0,0.0,Sunny
8.161,7.561,95.99946,0.0,0.0,0.0,0.0,Sunny
7.761,7.411,97.64142,0.0,0.0,0.0,0.0,Sunny
7.311,7.261,99.6588,0.0,0.0,0.0,90.0,Cloudy
5.661,5.661,100.0,0.0,0.0,0.0,90.0,Cloudy
4.561,4.461,99.303444,0.0,0.0,0.0,90.0,Cloudy
5.111,5.061,99.652725,0.0,0.0,0.0,90.0,Cloudy
5.111,5.061,99.652725,0.0,0.0,0.0,90.0,Cloudy
5.211,4.561,95.57128,0.0,0.0,0.0,90.0,Cloudy
5.361,4.611,94.91157,0.0,0.0,0.0,90.0,Cloudy
5.711,5.011,95.2566,0.0,0.0,0.0,90.0,Cloudy
6.311,5.961,97.61423,0.0,0.0,0.0,90.0,Cloudy
7.411,6.711,95.319336,0.0,0.0,0.0,90.0,Cloudy
8.861,7.861,93.447,0.0,0.0,0.0,90.0,Cloudy
11.661,8.961,83.51091,0.0,0.0,0.0,44.1,Cloudy
13.661,9.411,75.50846,0.0,0.0,0.0,6.2999997,Sunny
15.111,9.111,67.37863,0.0,0.0,0.0,2.6999998,Sunny
15.861,9.011001,63.785095,0.0,0.0,0.0,0.0,Sunny
15.911,8.711,62.30694,0.0,0.0,0.0,0.0,Sunny
15.211,9.111,66.94709,0.0,0.0,0.0,0.0,Sunny
11.061001,8.561001,84.577225,0.0,0.0,0.0,3.6,Sunny
8.861,7.261,89.699844,0.0,0.0,0.0,1.8,Sunny
8.261001,6.711,89.96151,0.0,0.0,0.0,0.0,Sunny
8.761001,6.761,87.26659,0.0,0.0,0.0,0.0,Sunny
9.111,6.911,86.11169,0.0,0.0,0.0,0.0,Sunny
8.411,6.811,89.6648,0.0,0.0,0.0,0.0,Sunny
7.611,6.661,93.70497,0.0,0.0,0.0,0.0,Sunny
6.811,6.461,97.623665,0.0,0.0,0.0,0.0,Sunny
6.261,6.211,99.655914,0.0,0.0,0.0,90.0,Cloudy
5.661,5.661,100.0,0.0,0.0,0.0,90.0,Cloudy
3.411,3.3109999,99.29694,0.0,0.0,0.0,90.0,Cloudy
4.061,4.061,100.0,0.0,0.0,0.0,90.0,Cloudy
4.561,4.461,99.303444,0.0,0.0,0.0,90.0,Cloudy
4.961,4.511,96.90899,0.0,0.0,0.0,90.0,Cloudy
5.761,4.811,93.613884,0.0,0.0,0.0,90.0,Cloudy
6.511,6.111,97.281845,0.0,0.0,0.0,90.0,Cloudy
7.061,6.461,95.964874,0.0,0.0,0.0,90.0,Cloudy
7.561,6.961,95.98066,0.0,0.0,0.0,90.0,Cloudy
9.361,6.661,83.234375,0.0,0.0,0.0,90.0,Cloudy
11.361,7.561,77.466675,0.0,0.0,0.0,88.200005,Cloudy
12.811001,7.661,70.897804,0.0,0.0,0.0,66.0,Cloudy
13.811001,7.961,67.79427,0.0,0.0,0.0,35.4,Cloudy
14.161,8.111,66.95199,0.0,0.0,0.0,34.5,Cloudy
13.611,8.211,69.85732,0.0,0.0,0.0,1.2,Sunny
9.761001,7.711,87.063835,0.0,0.0,0.0,0.0,Sunny
8.061001,6.611,90.56687,0.0,0.0,0.0,0.0,Sunny
7.961,6.411,89.9387,0.0,0.0,0.0,0.0,Sunny
8.061001,6.761,91.50482,0.0,0.0,0.0,0.0,Sunny
7.711,7.011,95.33028,0.0,0.0,0.0,0.0,Sunny
5.211,5.211,100.0,0.0,0.0,0.0,0.0,Sunny
4.761,4.761,100.0,0.0,0.0,0.0,0.0,Sunny
6.011,5.861,98.96881,0.0,0.0,0.0,0.0,Sunny
5.311,5.261,99.65329,0.0,0.0,0.0,89.1,Cloudy
3.3109999,3.111,98.59714,0.0,0.0,0.0,90.0,Cloudy
3.361,3.211,98.946625,0.0,0.0,0.0,90.0,Cloudy
3.261,3.011,98.24844,0.0,0.0,0.0,90.0,Cloudy
3.211,3.011,98.59599,0.0,0.0,0.0,92.4,Cloudy
4.011,3.711,97.913994,0.0,0.0,0.0,90.6,Cloudy
4.261,3.161,92.552895,0.0,0.0,0.0,90.0,Cloudy
5.261,3.661,89.41457,0.0,0.0,0.0,90.0,Cloudy
6.961,5.411,89.86203,0.0,0.0,0.0,90.0,Cloudy
7.661,6.561,92.74648,0.0,0.0,0.0,90.0,Cloudy
10.411,7.611,82.79522,0.0,0.0,0.0,37.8,Cloudy
12.711,8.161,73.83222,0.0,0.0,0.0,9.9,Sunny
14.411,8.111,65.877914,0.0,0.0,0.0,0.9,Sunny
15.211,8.161,62.781242,0.0,0.0,0.0,0.0,Sunny
15.411,8.411,63.040333,0.0,0.0,0.0,0.0,Sunny
14.761001,9.211,69.379425,0.0,0.0,0.0,0.0,Sunny
11.661,7.661,76.46502,0.0,0.0,0.0,5.4,Sunny
11.361,7.361,76.41624,0.0,0.0,0.0,17.7,Sunny
8.111,6.361,88.72067,0.0,0.0,0.0,3.0,Sunny
6.561,5.511,93.006645,0.0,0.0,0.0,2.7,Sunny
5.711,4.811,93.938416,0.0,0.0,0.0,0.0,Sunny
5.361,4.411,93.59395,0.0,0.0,0.0,1.2,Sunny
4.961,4.111,94.23267,0.0,0.0,0.0,2.1000001,Sunny
4.611,4.061,96.22322,0.0,0.0,0.0,0.0,Sunny
3.961,3.661,97.91317,0.0,0.0,0.0,0.90000004,Sunny
3.861,3.711,98.95087,0.0,0.0,0.0,0.90000004,Sunny
3.911,3.761,98.951294,0.0,0.0,0.0,3.9,Sunny
4.161,3.861,97.91651,0.0,0.0,0.0,16.5,Sunny
4.461,4.161,97.92151,0.0,0.0,0.0,0.0,Sunny
4.761,4.511,98.26942,0.0,0.0,0.0,17.7,Sunny
5.361,5.061,97.9364,0.0,0.0,0.0,37.8,Cloudy
7.061,6.311,94.97885,0.0,0.0,0.0,78.6,Cloudy
9.111,7.561,90.025795,0.0,0.0,0.0,52.2,Cloudy
11.761001,9.011001,83.24173,0.0,0.0,0.0,9.0,Sunny
14.261001,10.011001,75.60817,0.0,0.0,0.0,3.9,Sunny
16.111,10.411,68.95361,0.0,0.0,0.0,0.0,Sunny
17.361,10.661,64.76356,0.0,0.0,0.0,0.0,Sunny
18.011,10.511001,61.546635,0.0,0.0,0.0,0.0,Sunny
18.211,10.611,61.184494,0.0,0.0,0.0,0.0,Sunny
17.261,11.711,69.87127,0.0,0.0,0.0,0.0,Sunny
13.261001,10.111,81.22364,0.0,0.0,0.0,0.0,Sunny
13.961,10.011001,77.09188,0.0,0.0,0.0,0.0,Sunny
12.911,9.711,80.905495,0.0,0.0,0.0,0.0,Sunny
11.211,9.061001,86.61615,0.0,0.0,0.0,0.0,Sunny
8.261001,7.361,94.0573,0.0,0.0,0.0,0.0,Sunny
8.961,7.811,92.503204,0.0,0.0,0.0,0.0,Sunny
9.261001,8.011001,91.89397,0.0,0.0,0.0,0.0,Sunny
5.761,5.511,98.28319,0.0,0.0,0.0,0.0,Sunny
5.511,5.511,100.0,0.0,0.0,0.0,0.0,Sunny
4.961,4.961,100.0,0.0,0.0,0.0,93.299995,Cloudy
4.961,4.961,100.0,0.0,0.0,0.0,58.5,Cloudy
5.261,4.961,97.93475,0.0,0.0,0.0,13.200001,Sunny
4.711,4.711,100.0,0.0,0.0,0.0,100.0,Cloudy
5.161,5.061,99.306786,0.0,0.0,0.0,100.0,Cloudy
5.361,5.261,99.30791,0.0,0.0,0.0,100.0,Cloudy
6.861,6.461,97.28936,0.0,0.0,0.0,100.0,Cloudy
9.511001,8.361,92.534645,0.0,0.0,0.0,47.1,Cloudy
13.061001,10.511001,84.51702,0.0,0.0,0.0,9.3,Sunny
16.211,11.611,74.19534,0.0,0.0,0.0,26.7,Sunny
18.011,12.011001,67.975945,0.0,0.0,0.0,29.400002,Sunny
18.761,11.861,64.21665,0.0,0.0,0.0,28.500002,Sunny
18.961,11.461,61.766453,0.0,0.0,0.0,30.000002,Cloudy
18.561,11.111,61.878967,0.0,0.0,0.0,30.000002,Cloudy
17.411001,11.661,68.9841,0.0,0.0,0.0,29.7,Sunny
14.711,11.511001,81.145966,0.0,0.0,0.0,30.000002,Cloudy
13.011001,11.111,88.24378,0.0,0.0,0.0,30.000002,Cloudy
11.861,10.461,91.13689,0.0,0.0,0.0,30.000002,Cloudy
13.461,10.661,83.167625,0.0,0.0,0.0,30.000002,Cloudy
13.111,10.561001,84.5226,0.0,0.0,0.0,30.000002,Cloudy
11.911,10.111,88.73944,0.0,0.0,0.0,30.000002,Cloudy
10.161,9.011001,92.57157,0.0,0.0,0.0,35.7,Cloudy
9.911,8.711,92.2452,0.0,0.0,0.0,29.400002,Sunny
9.211,8.161,93.14795,0.0,0.0,0.0,33.0,Cloudy
9.411,8.411,93.47462,0.0,0.0,0.0,36.600002,Cloudy
9.061001,8.111,93.774994,0.0,0.0,0.0,32.4,Cloudy
8.711,7.761,93.758194,0.0,0.0,0.0,0.0,Sunny
6.361,6.061,97.95275,0.0,0.0,0.0,3.6,Sunny
5.711,5.711,100.0,0.0,0.0,0.0,19.8,Sunny
6.061,6.011,99.655365,0.0,0.0,0.0,90.0,Cloudy
7.561,7.161,97.30429,0.0,0.0,0.0,90.0,Cloudy
9.861,9.161,95.40761,0.0,0.0,0.0,83.7,Cloudy
12.761001,10.811001,87.92945,0.0,0.0,0.0,26.1,Sunny
15.911,10.911,72.20264,0.0,0.0,0.0,6.0000005,Sunny
18.161001,9.761001,57.98883,0.0,0.0,0.0,0.0,Sunny
19.461,9.261001,51.699814,0.0,0.0,0.0,0.0,Sunny
20.011,9.161,49.630367,0.0,0.0,0.0,0.0,Sunny
20.011,9.411,50.472206,0.0,0.0,0.0,0.0,Sunny
18.911001,11.261001,61.144737,0.0,0.0,0.0,0.0,Sunny
14.111,10.461,78.67493,0.0,0.0,0.0,0.0,Sunny
12.211,9.861,85.56108,0.0,0.0,0.0,0.0,Sunny
10.611,9.011001,89.83445,0.0,0.0,0.0,0.0,Sunny
9.761001,8.411,91.304306,0.0,0.0,0.0,0.0,Sunny
9.061001,7.911,92.50895,0.0,0.0,0.0,0.0,Sunny
8.261001,7.361,94.0573,0.0,0.0,0.0,0.0,Sunny
7.761,7.061,95.3321,0.0,0.0,0.0,0.0,Sunny
7.411,6.811,95.97593,0.0,0.0,0.0,0.0,Sunny
6.861,6.461,97.28936,0.0,0.0,0.0,0.0,Sunny
6.761,6.361,97.2872,0.0,0.0,0.0,0.0,Sunny
6.661,6.211,96.95032,0.0,0.0,0.0,1.8000001,Sunny
5.811,5.511,97.94379,0.0,0.0,0.0,11.700001,Sunny
5.711,5.361,97.60283,0.0,0.0,0.0,22.800001,Sunny
5.461,5.261,98.62114,0.0,0.0,0.0,30.300001,Cloudy
6.111,5.811,97.948685,0.0,0.0,0.0,100.0,Cloudy
7.961,7.161,94.68948,0.0,0.0,0.0,100.0,Cloudy
10.611,8.761001,88.33136,0.0,0.0,0.0,34.5,Cloudy
13.411,10.111,80.4335,0.0,0.0,0.0,20.1,Sunny
16.361,10.511001,68.31775,0.0,0.0,0.0,24.900002,Sunny
18.461,10.061001,58.062542,0.0,0.0,0.0,0.90000004,Sunny
19.911001,9.961,52.694042,0.0,0.0,0.0,8.400001,Sunny
20.861,10.161,50.361816,0.0,0.0,0.0,20.400002,Sunny
21.111,10.911,52.1349,0.0,0.0,0.0,11.700001,Sunny
20.061,12.661,62.42673,0.0,0.0,0.0,0.9,Sunny
16.461,11.961,74.72925,0.0,0.0,0.0,4.2,Sunny
15.011001,11.661,80.38593,0.0,0.0,0.0,0.0,Sunny
14.311001,11.711,84.376724,0.0,0.0,0.0,0.0,Sunny
13.811001,11.561001,86.29632,0.0,0.0,0.0,0.6,Sunny
13.011001,11.411,90.01487,0.0,0.0,0.0,4.2000003,Sunny
12.461,11.161,91.78334,0.0,0.0,0.0,7.8,Sunny
12.361,11.111,92.08204,0.0,0.0,0.0,60.000004,Cloudy
13.411,10.811001,84.27549,0.0,0.0,0.0,60.000004,Cloudy
13.461,10.211,80.70951,0.0,0.0,0.0,20.400002,Sunny
11.861,9.461,85.237495,0.0,0.0,0.0,39.600002,Cloudy
11.361,9.161,86.33973,0.0,0.0,0.0,40.800003,Cloudy
11.411,9.261001,86.63579,0.0,0.0,0.0,58.2,Cloudy
11.461,9.711,88.999756,0.0,0.0,0.0,33.0,Cloudy
11.061001,9.811001,92.00397,0.0,0.0,0.0,39.0,Cloudy
11.111,9.861,92.006996,0.0,0.0,0.0,31.2,Cloudy
11.961,10.111,88.44757,0.0,0.0,0.0,7.2000003,Sunny
13.511001,10.711,83.17363,0.0,0.0,0.0,32.4,Cloudy
15.211,11.361,77.80075,0.0,0.0,0.0,9.0,Sunny
16.811,12.111,73.8114,0.0,0.0,0.0,13.8,Sunny
18.261,12.911,70.98799,0.0,0.0,0.0,16.2,Sunny
19.111,13.411,69.5459,0.0,0.0,0.0,24.0,Sunny
19.461,13.611,68.93863,0.0,0.0,0.0,23.400002,Sunny
19.311,13.611,69.58482,0.0,0.0,0.0,11.400001,Sunny
18.611,13.661,72.92848,0.0,0.0,0.0,12.3,Sunny
16.511,13.311001,81.38208,0.0,0.0,0.0,10.5,Sunny
14.961,12.811001,86.97756,0.0,0.0,0.0,6.6000004,Sunny
14.211,12.611,90.103325,0.0,0.0,0.0,3.0,Sunny
13.661,12.261001,91.255486,0.0,0.0,0.0,2.4,Sunny
13.261001,12.011001,92.13544,0.0,0.0,0.0,1.8000001,Sunny
12.761001,11.711,93.33075,0.0,0.0,0.0,0.0,Sunny
12.311001,11.411,94.23915,0.0,0.0,0.0,0.0,Sunny
11.811001,11.061001,95.15997,0.0,0.0,0.0,0.6,Sunny
10.761001,10.261001,96.72333,0.0,0.0,0.0,0.0,Sunny
10.061001,9.811001,98.340576,0.0,0.0,0.0,3.0,Sunny
9.611,9.461,98.99786,0.0,0.0,0.0,11.400001,Sunny
9.561001,9.411,98.99747,0.0,0.0,0.0,47.4,Cloudy
10.761001,10.411,97.696236,0.0,0.0,0.0,59.4,Cloudy
11.461,10.811001,95.78181,0.0,0.0,0.0,60.000004,Cloudy
10.961,10.411,96.4065,0.0,0.0,0.0,41.7,Cloudy
12.211,11.061001,92.6862,0.0,0.0,0.0,34.2,Cloudy
13.761001,11.761001,87.72792,0.0,0.0,0.0,39.6,Cloudy
15.561001,12.761001,83.4173,0.0,0.0,0.0,11.400001,Sunny
17.411001,13.711,78.89818,0.0,0.0,0.0,0.0,Sunny
18.711,14.211,75.10608,0.0,0.0,0.0,4.5,Sunny
19.711,14.361,71.25902,0.0,0.0,0.0,45.0,Cloudy
20.161001,14.361,69.30021,0.0,0.0,0.0,19.8,Sunny
19.911001,13.661,67.25834,0.3,0.3,0.0,51.600002,Rainy
19.111,14.161,73.01712,0.2,0.2,0.0,46.5,Rainy
15.611,13.761001,88.75349,0.0,0.0,0.0,36.899998,Cloudy
14.861,13.861,93.739265,0.0,0.0,0.0,45.0,Cloudy
13.561001,12.911,95.8492,0.0,0.0,0.0,10.8,Sunny
12.961,12.361,96.14534,0.0,0.0,0.0,2.4,Sunny
11.861,11.411,97.07178,0.0,0.0,0.0,2.4,Sunny
11.811001,11.461,97.71497,0.0,0.0,0.0,0.6,Sunny
12.111,11.711,97.398384,0.0,0.0,0.0,1.8,Sunny
12.011001,11.411,96.1171,0.0,0.0,0.0,5.3999996,Sunny
11.711,11.061001,95.78991,0.0,0.0,0.0,11.7,Sunny
11.211,10.761001,97.05699,0.0,0.0,0.0,10.799999,Sunny
10.811001,10.311001,96.7246,0.0,0.0,0.0,5.3999996,Sunny
10.161,9.711,97.032875,0.0,0.0,0.0,17.1,Sunny
8.961,7.811,92.503204,0.0,0.0,0.0,0.0,Sunny
8.361,7.111,91.83812,0.0,0.0,0.0,0.0,Sunny
7.711,6.361,91.16767,0.0,0.0,0.0,0.0,Sunny
8.561001,6.411,86.351875,0.0,0.0,0.0,0.0,Sunny
10.061001,6.411,78.0641,0.0,0.0,0.0,0.0,Sunny
11.811001,6.261,68.78477,0.0,0.0,0.0,0.0,Sunny
13.611,6.011,60.09051,0.0,0.0,0.0,0.0,Sunny
15.011001,5.361,52.472828,0.0,0.0,0.0,0.0,Sunny
15.861,4.761,47.657616,0.0,0.0,0.0,0.0,Sunny
16.161001,4.061,44.51931,0.0,0.0,0.0,0.0,Sunny
16.011,2.711,40.86455,0.0,0.0,0.0,0.0,Sunny
15.111,2.8109999,43.597588,0.0,0.0,0.0,0.0,Sunny
11.761001,4.011,59.015114,0.0,0.0,0.0,0.0,Sunny
9.811001,2.8109999,61.73268,0.0,0.0,0.0,0.0,Sunny
8.561001,1.911,62.989162,0.0,0.0,0.0,0.0,Sunny
7.911,1.361,63.288704,0.0,0.0,0.0,2.4,Sunny
7.361,1.461,66.179306,0.0,0.0,0.0,5.7000003,Sunny
6.911,1.961,70.73359,0.0,0.0,0.0,16.5,Sunny
6.761,2.511,74.31946,0.0,0.0,0.0,12.6,Sunny
6.761,3.0609999,77.27414,0.0,0.0,0.0,2.7,Sunny
6.361,3.261,80.55948,0.0,0.0,0.0,0.0,Sunny
6.061,3.111,81.37618,0.0,0.0,0.0,0.0,Sunny
5.861,2.911,81.34906,0.0,0.0,0.0,0.0,Sunny
5.411,2.761,83.037476,0.0,0.0,0.0,0.0,Sunny
5.111,2.461,82.99994,0.0,0.0,0.0,0.0,Sunny
5.011,2.211,82.10614,0.0,0.0,0.0,0.0,Sunny
4.811,1.711,80.3399,0.0,0.0,0.0,0.0,Sunny
6.461,1.561,70.89772,0.0,0.0,0.0,0.0,Sunny
8.911,2.3109999,63.295986,0.0,0.0,0.0,0.0,Sunny
11.261001,2.861,56.247383,0.0,0.0,0.0,0.0,Sunny
13.111,2.5609999,48.755836,0.0,0.0,0.0,0.0,Sunny
14.311001,1.0109999,40.36958,0.0,0.0,0.0,0.0,Sunny
14.911,0.711,38.006523,0.0,0.0,0.0,0.0,Sunny
15.111,0.711,37.520683,0.0,0.0,0.0,0.0,Sunny
15.011001,0.211,36.422997,0.0,0.0,0.0,0.0,Sunny
14.211,1.611,42.418842,0.0,0.0,0.0,0.0,Sunny
10.611,3.611,61.92317,0.0,0.0,0.0,12.6,Sunny
8.861,2.011,62.16691,0.0,0.0,0.0,22.800001,Sunny
7.961,1.561,63.98429,0.0,0.0,0.0,19.2,Sunny
7.061,1.311,66.82873,0.0,0.0,0.0,16.5,Sunny
6.511,0.911,67.43316,0.0,0.0,0.0,6.6000004,Sunny
5.911,0.56100005,68.53045,0.0,0.0,0.0,0.0,Sunny
5.111,0.211,70.62951,0.0,0.0,0.0,0.0,Sunny
4.361,-0.089,72.823105,0.0,0.0,0.0,0.0,Sunny
3.761,-0.389,74.31611,0.0,0.0,0.0,0.0,Sunny
3.411,-0.639,74.79642,0.0,0.0,0.0,0.0,Sunny
2.961,-0.789,76.37248,0.0,0.0,0.0,0.0,Sunny
2.611,-0.93899995,77.43791,0.0,0.0,0.0,0.0,Sunny
2.711,-0.489,79.45628,0.0,0.0,0.0,0.0,Sunny
2.511,-0.789,78.84891,0.0,0.0,0.0,0.0,Sunny
2.511,-0.889,78.27523,0.0,0.0,0.0,0.0,Sunny
5.361,0.311,69.917175,0.0,0.0,0.0,0.0,Sunny
8.661,2.461,65.06431,0.0,0.0,0.0,0.0,Sunny
11.511001,3.161,56.511414,0.0,0.0,0.0,0.0,Sunny
13.511001,3.261,49.91494,0.0,0.0,0.0,0.0,Sunny
14.711,2.461,43.637325,0.0,0.0,0.0,0.0,Sunny
15.311001,2.211,41.24501,0.0,0.0,0.0,0.0,Sunny
15.511001,2.161,40.574623,0.0,0.0,0.0,0.0,Sunny
15.311001,2.211,41.24501,0.0,0.0,0.0,0.0,Sunny
14.511001,3.661,48.11962,0.0,0.0,0.0,0.0,Sunny
11.361,5.311,66.35289,0.0,0.0,0.0,0.0,Sunny
9.411,3.961,68.77066,0.0,0.0,0.0,0.0,Sunny
8.561001,3.411,70.06326,0.0,0.0,0.0,0.0,Sunny
8.011001,2.8109999,69.70548,0.0,0.0,0.0,0.0,Sunny
7.311,2.3109999,70.561165,0.0,0.0,0.0,0.0,Sunny
5.661,2.161,78.20373,0.0,0.0,0.0,0.0,Sunny
5.011,1.911,80.36843,0.0,0.0,0.0,0.0,Sunny
4.511,1.611,81.45552,0.0,0.0,0.0,0.0,Sunny
3.861,1.211,82.84225,0.0,0.0,0.0,0.0,Sunny
3.411,0.81100005,83.08373,0.0,0.0,0.0,0.0,Sunny
3.511,0.41099998,80.15298,0.0,0.0,0.0,0.0,Sunny
3.861,0.161,76.80125,0.0,0.0,0.0,0.0,Sunny
3.861,0.711,79.915,0.0,0.0,0.0,0.0,Sunny
3.361,0.51100004,81.59256,0.0,0.0,0.0,0.0,Sunny
2.8109999,0.261,83.30907,0.0,0.0,0.0,0.0,Sunny
5.661,1.211,73.06651,0.0,0.0,0.0,0.0,Sunny
8.861,3.161,67.45585,0.0,0.0,0.0,0.0,Sunny
11.861,3.911,58.216988,0.0,0.0,0.0,0.0,Sunny
14.011001,3.0609999,47.64173,0.0,0.0,0.0,0.0,Sunny
15.311001,2.461,41.98516,0.0,0.0,0.0,0.0,Sunny
16.011,1.861,38.465633,0.0,0.0,0.0,0.0,Sunny
16.361,1.311,36.164734,0.0,0.0,0.0,0.0,Sunny
16.261,1.111,35.876854,0.0,0.0,0.0,0.0,Sunny
15.361,2.961,43.361496,0.0,0.0,0.0,0.0,Sunny
11.811001,4.411,60.49273,0.0,0.0,0.0,0.0,Sunny
10.111,2.711,60.078217,0.0,0.0,0.0,0.0,Sunny
9.761001,2.3109999,59.779144,0.0,0.0,0.0,0.0,Sunny
8.961,1.911,61.309723,0.0,0.0,0.0,0.0,Sunny
